視差       |線形近似     |センサ比率   |角度比率
120 pixel | 482.745 mm |296.296 mm |296.296 mm
120 pixel | 482.745 mm |296.296 mm |296.296 mm
120 pixel | 482.745 mm |296.296 mm |296.296 mm
120 pixel | 482.745 mm |296.296 mm |296.296 mm
120 pixel | 482.745 mm |296.296 mm |296.296 mm
120 pixel | 482.745 mm |296.296 mm |296.296 mm
120 pixel | 482.745 mm |296.296 mm |296.296 mm
120 pixel | 482.745 mm |296.296 mm |296.296 mm
120 pixel | 482.745 mm |296.296 mm |296.296 mm
120 pixel | 482.745 mm |296.296 mm |296.296 mm
120 pixel | 482.745 mm |296.296 mm |296.296 mm
120 pixel | 482.745 mm |296.296 mm |296.296 mm
120 pixel | 482.745 mm |296.296 mm |296.296 mm
120 pixel | 482.745 mm |296.296 mm |296.296 mm
120 pixel | 482.745 mm |296.296 mm |296.296 mm
120 pixel | 482.745 mm |296.296 mm |296.296 mm
120 pixel | 482.745 mm |296.296 mm |296.296 mm
120 pixel | 482.745 mm |296.296 mm |296.296 mm
