視差|  線形近似|  センサ比率|  角度比率
121 pixel | 972.225 mm |6.71074 mm |6.71074 mm
121 pixel | 972.225 mm |6.71074 mm |6.71074 mm
121 pixel | 972.225 mm |6.71074 mm |6.71074 mm
121 pixel | 972.225 mm |6.71074 mm |6.71074 mm
121 pixel | 972.225 mm |6.71074 mm |6.71074 mm
121 pixel | 972.225 mm |6.71074 mm |6.71074 mm
121 pixel | 972.225 mm |6.71074 mm |6.71074 mm
121 pixel | 972.225 mm |6.71074 mm |6.71074 mm
121 pixel | 972.225 mm |6.71074 mm |6.71074 mm
121 pixel | 972.225 mm |6.71074 mm |6.71074 mm
121 pixel | 972.225 mm |6.71074 mm |6.71074 mm
121 pixel | 972.225 mm |6.71074 mm |6.71074 mm
121 pixel | 972.225 mm |6.71074 mm |6.71074 mm
121 pixel | 972.225 mm |6.71074 mm |6.71074 mm
121 pixel | 972.225 mm |6.71074 mm |6.71074 mm
121 pixel | 972.225 mm |6.71074 mm |6.71074 mm
121 pixel | 972.225 mm |6.71074 mm |6.71074 mm
121 pixel | 972.225 mm |6.71074 mm |6.71074 mm
121 pixel | 972.225 mm |6.71074 mm |6.71074 mm
121 pixel | 972.225 mm |6.71074 mm |6.71074 mm
121 pixel | 972.225 mm |6.71074 mm |6.71074 mm
121 pixel | 972.225 mm |6.71074 mm |6.71074 mm
121 pixel | 972.225 mm |6.71074 mm |6.71074 mm
121 pixel | 972.225 mm |6.71074 mm |6.71074 mm
121 pixel | 972.225 mm |6.71074 mm |6.71074 mm
121 pixel | 972.225 mm |6.71074 mm |6.71074 mm
121 pixel | 972.225 mm |6.71074 mm |6.71074 mm
121 pixel | 972.225 mm |6.71074 mm |6.71074 mm
121 pixel | 972.225 mm |6.71074 mm |6.71074 mm
121 pixel | 972.225 mm |6.71074 mm |6.71074 mm
121 pixel | 972.225 mm |6.71074 mm |6.71074 mm
121 pixel | 972.225 mm |6.71074 mm |6.71074 mm
121 pixel | 972.225 mm |6.71074 mm |6.71074 mm
