視差|  測定結果
20 pixel |   1690 mm |
23 pixel |   1469 mm |
27 pixel |   1251 mm |
29 pixel |   1165 mm |
32 pixel |   1056 mm |
46 pixel |    734 mm |
43 pixel |    786 mm |
45 pixel |    751 mm |
44 pixel |    768 mm |
42 pixel |    804 mm |
45 pixel |    751 mm |
43 pixel |    786 mm |
43 pixel |    786 mm |
44 pixel |    768 mm |
44 pixel |    768 mm |
44 pixel |    768 mm |
44 pixel |    768 mm |
43 pixel |    786 mm |
44 pixel |    768 mm |
44 pixel |    768 mm |
45 pixel |    751 mm |
44 pixel |    768 mm |
44 pixel |    768 mm |
46 pixel |    734 mm |
44 pixel |    768 mm |
44 pixel |    768 mm |
44 pixel |    768 mm |
46 pixel |    734 mm |
44 pixel |    768 mm |
44 pixel |    768 mm |
46 pixel |    734 mm |
45 pixel |    751 mm |
44 pixel |    768 mm |
44 pixel |    768 mm |
123 pixel |    274 mm |
123 pixel |    274 mm |
124 pixel |    272 mm |
125 pixel |    270 mm |
127 pixel |    266 mm |
127 pixel |    266 mm |
127 pixel |    266 mm |
130 pixel |    260 mm |
129 pixel |    262 mm |
129 pixel |    262 mm |
130 pixel |    260 mm |
131 pixel |    258 mm |
131 pixel |    258 mm |
131 pixel |    258 mm |
131 pixel |    258 mm |
130 pixel |    260 mm |
131 pixel |    258 mm |
131 pixel |    258 mm |
129 pixel |    262 mm |
129 pixel |    262 mm |
129 pixel |    262 mm |
128 pixel |    264 mm |
127 pixel |    266 mm |
126 pixel |    268 mm |
127 pixel |    266 mm |
126 pixel |    268 mm |
43 pixel |    786 mm |
44 pixel |    768 mm |
45 pixel |    751 mm |
45 pixel |    751 mm |
44 pixel |    768 mm |
45 pixel |    751 mm |
44 pixel |    768 mm |
42 pixel |    804 mm |
43 pixel |    786 mm |
44 pixel |    768 mm |
43 pixel |    786 mm |
45 pixel |    751 mm |
45 pixel |    751 mm |
45 pixel |    751 mm |
44 pixel |    768 mm |
45 pixel |    751 mm |
46 pixel |    734 mm |
45 pixel |    751 mm |
46 pixel |    734 mm |
45 pixel |    751 mm |
45 pixel |    751 mm |
46 pixel |    734 mm |
47 pixel |    719 mm |
46 pixel |    734 mm |
46 pixel |    734 mm |
48 pixel |    704 mm |
46 pixel |    734 mm |
47 pixel |    719 mm |
48 pixel |    704 mm |
48 pixel |    704 mm |
46 pixel |    734 mm |
46 pixel |    734 mm |
49 pixel |    689 mm |
50 pixel |    676 mm |
47 pixel |    719 mm |
47 pixel |    719 mm |
49 pixel |    689 mm |
47 pixel |    719 mm |
46 pixel |    734 mm |
47 pixel |    719 mm |
131 pixel |    258 mm |
132 pixel |    256 mm |
132 pixel |    256 mm |
135 pixel |    250 mm |
134 pixel |    252 mm |
134 pixel |    252 mm |
134 pixel |    252 mm |
134 pixel |    252 mm |
134 pixel |    252 mm |
134 pixel |    252 mm |
134 pixel |    252 mm |
134 pixel |    252 mm |
133 pixel |    254 mm |
132 pixel |    256 mm |
132 pixel |    256 mm |
132 pixel |    256 mm |
129 pixel |    262 mm |
128 pixel |    264 mm |
129 pixel |    262 mm |
128 pixel |    264 mm |
43 pixel |    786 mm |
44 pixel |    768 mm |
44 pixel |    768 mm |
43 pixel |    786 mm |
44 pixel |    768 mm |
44 pixel |    768 mm |
45 pixel |    751 mm |
42 pixel |    804 mm |
45 pixel |    751 mm |
44 pixel |    768 mm |
43 pixel |    786 mm |
44 pixel |    768 mm |
44 pixel |    768 mm |
43 pixel |    786 mm |
43 pixel |    786 mm |
44 pixel |    768 mm |
44 pixel |    768 mm |
44 pixel |    768 mm |
44 pixel |    768 mm |
44 pixel |    768 mm |
44 pixel |    768 mm |
45 pixel |    751 mm |
44 pixel |    768 mm |
44 pixel |    768 mm |
44 pixel |    768 mm |
44 pixel |    768 mm |
44 pixel |    768 mm |
44 pixel |    768 mm |
46 pixel |    734 mm |
45 pixel |    751 mm |
44 pixel |    768 mm |
46 pixel |    734 mm |
46 pixel |    734 mm |
45 pixel |    751 mm |
45 pixel |    751 mm |
46 pixel |    734 mm |
44 pixel |    768 mm |
123 pixel |    274 mm |
124 pixel |    272 mm |
126 pixel |    268 mm |
126 pixel |    268 mm |
127 pixel |    266 mm |
128 pixel |    264 mm |
129 pixel |    262 mm |
130 pixel |    260 mm |
132 pixel |    256 mm |
131 pixel |    258 mm |
131 pixel |    258 mm |
132 pixel |    256 mm |
132 pixel |    256 mm |
132 pixel |    256 mm |
132 pixel |    256 mm |
131 pixel |    258 mm |
132 pixel |    256 mm |
132 pixel |    256 mm |
131 pixel |    258 mm |
131 pixel |    258 mm |
130 pixel |    260 mm |
130 pixel |    260 mm |
128 pixel |    264 mm |
